feature,coef,exp(coef)
intercept,-2.776219416750982,0.06227349303067187
length_of_stay,0.09385431219247453,1.09839971081422
apsiii,0.20908201993308648,1.2325460877321752
Anion Gap,0.12735097375894042,1.1358155893001627
Bicarbonate,-0.04629309342991178,0.9547620866831462
"Fibrinogen, Functional",-0.013292735792621546,0.9867952224532262
Lactate Dehydrogenase (LD),0.1324897062073221,1.1416672639425756
Platelet Count,-0.16053709796898524,0.8516862271566331
